rank,name,year,rating,info_link
209,Hachi: A Dog's Tale,2009,            8.1    ,/title/tt1028532/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_209
210,Kaze no tani no Naushika,1984,            8.1    ,/title/tt0087544/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_210
211,The Princess Bride,1987,            8.1    ,/title/tt0093779/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_211
212,Paper Moon,1973,            8.1    ,/title/tt0070510/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_212
213,Before Sunrise,1995,            8.1    ,/title/tt0112471/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_213
214,Le notti di Cabiria,1957,            8.1    ,/title/tt0050783/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_214
215,Prisoners,2013,            8.0    ,/title/tt1392214/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_215
216,Harry Potter and the Deathly Hallows: Part 2,2011,            8.0    ,/title/tt1201607/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_216
217,Munna Bhai M.B.B.S.,2003,            8.0    ,/title/tt0374887/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_217
218,The Grapes of Wrath,1940,            8.0    ,/title/tt0032551/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_218
219,Rocky,1976,            8.0    ,/title/tt0075148/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_219
220,Catch Me If You Can,2002,            8.0    ,/title/tt0264464/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_220
221,Touch of Evil,1958,            8.0    ,/title/tt0052311/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_221
